"","code","study_num","year","age_group","location","country","groups","languages","mono_def_present","mono_definition","mono_concept","bi_concept","bi_def_present","bi_definition","bi_measure","cutoff_mono","cutoff_bi","attrition.n.","Data.collection","lab_home","citation","articles","if.comparing..diff."
"92",70,"1",2015,"10mo","Paris, France","France","Monolinguals= 24
Bilinguals= 24","French-Other","Not Present","not present","idk","Exposure","Present","﻿exposed to their two languages from birth, ﻿hearing French 60% to 70% of the time or hearing French only 30% to 50% of the time.","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","None","30%","17","idk","lab","Abboub, N., Bijeljac-Babic, R., Serres, J., & Nazzi, T. (2015). On the importance of being bilingual: Word stress processing in a context of segmental variability. Journal of Experimental Child Psychology, 132, 111–120. https://doi.org/10.1016/j.jecp.2014.12.004","Abboub, N., Bijeljac-Babic, R., Serres, J., & Nazzi, T. (2015)","yes"
"93",71,"1",2011,"7mo-8mo","Barcelona, Spain","Spain","Monolinguals= 9
Bilinguals= 9","Catalan-Spanish","Not Present","not present","idk","Exposure","Not Present","not present","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","None","None","9","idk","lab","Albareda-Castellot, B., Pons, F., & Sebastián-Gallés, N. (2011). The acquisition of phonetic categories in bilingual infants: New data from an anticipatory eye movement paradigm. Developmental Science, 14(2), 395–401. https://doi.org/10.1111/j.1467-7687.2010.00989.x","Albareda-Castellot, B., Pons, F., & Sebastián-Gallés, N. (2011)","no"
"94",71,"2",2011,"7mo-8mo","Barcelona, Spain","Spain","Monolinguals= 36
Bilinguals= 18","Catalan-Spanish","Not Present","not present","idk","Exposure","Not Present","not present","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","None","None","36","idk","lab","Albareda-Castellot, B., Pons, F., & Sebastián-Gallés, N. (2011). The acquisition of phonetic categories in bilingual infants: New data from an anticipatory eye movement paradigm. Developmental Science, 14(2), 395–401. https://doi.org/10.1111/j.1467-7687.2010.00989.x","Albareda-Castellot, B., Pons, F., & Sebastián-Gallés, N. (2011)","kinda"
"95",72,"1",2012,"8mo","Barcelona, Spain","Spain","Monolinguals= 24
Bilinguals= 24","Catalan-Spanish","Not Present","not present","exposure","Exposure","Not Present","not present","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","None","None","7","idk","lab","Sebastián-Gallés, N., Albareda-Castellot, B., Weikum, W. M., & Werker, J. F. (2012). A Bilingual Advantage in Visual Language Discrimination in Infancy. Psychological Science, 23(9), 994–999. https://doi.org/10.1177/0956797612436817","Sebastián-Gallés, N., Albareda-Castellot, B., Weikum, W. M., & Werker, J. F. (2012)","yes"
"96",73,"1",2007,"6mo & 8mo","Not provided","Not provided","Monolinguals= 24
Bilinguals= 24","French-English","Not Present","not present","idk","Exposure","Present","﻿exposed to at least 25% English and French according to parental estimates","no specified","None","25%","33","idk","lab","Weikum, W. M., Vouloumanos, A., Navarra, J., Soto-Faraco, S., Sebastián-Gallés, N., & Werker, J. F. (2007). Visual language discrimination in infancy. Science, 316(5828), 1159. https://doi.org/10.1126/science.1137686","Weikum, W. M., Vouloumanos, A., Navarra, J., Soto-Faraco, S., Sebastián-Gallés, N., & Werker, J. F. (2007)","yes"
"97",74,"1",2007,"14mo, 17mo, & 20mo","Vancouver, Canada","Canada","Monolinguals= 0
Bilinguals= 48","English-Other","Not Present","not present (published in another paper)","idk","Exposure","Present","﻿To be considered bilingual, an infant needed to have a maximum of 70% exposure to one language and a minimum of 30% exposure to the other. Been expose from birth","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","NA","30%","54","idk","lab","Fennell, C. T., Byers-Heinlein, K., & Werker, J. F. (2007). Using speech sounds to guide word learning: The case of bilingual infants. Child Development, 78(5), 1510–1525. https://doi.org/10.1111/j.1467-8624.2007.01080.x","Fennell, C. T., Byers-Heinlein, K., & Werker, J. F. (2007)","999"
"98",74,"2",2007,"14mo, 17mo, & 20mo","Vancouver, Canada","Canada","Monolinguals= 0
Bilinguals= 53","French-English & English-Mandarin or Cantonese","Not Present","not present (published in another paper)","idk","Exposure","Present","﻿were considered bilingual if they had a maximum of 75% exposure to one language and a minimum exposure of 25% to their other language","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","NA","25%","24","idk","lab","Fennell, C. T., Byers-Heinlein, K., & Werker, J. F. (2007). Using speech sounds to guide word learning: The case of bilingual infants. Child Development, 78(5), 1510–1525. https://doi.org/10.1111/j.1467-8624.2007.01080.x","Fennell, C. T., Byers-Heinlein, K., & Werker, J. F. (2007)","999"
"99",75,"1",2007,"6mo-8mo","Vancouver, Canada","Canada","Monolinguals= 10
Bilinguals= 9","French-English","Present","infants who are being raised in a monolingual environment and","caregivers status","Exposure","Present","﻿infants who are being raised in a bilingual environment and","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","None","None","idk","idk","lab","Burns, T. C., Yoshida, K. A., Hill, K., & Werker, J. F. (2007). The development of phonetic representation in bilingual and monolingual infants. Applied Psycholinguistics, 28(3), 455–474. https://doi.org/10.1017/S0142716407070257","Burns, T. C., Yoshida, K. A., Hill, K., & Werker, J. F. (2007)","no"
"100",75,"2",2007,"14mo-20mo","Vancouver, Canada","Canada","Monolinguals= 8
Bilinguals= 12","French-English","Present","infants who are being raised in a monolingual environment and","caregivers status","Exposure","Present","﻿infants who are being raised in a bilingual environment and","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","None","None","idk","idk","lab","Burns, T. C., Yoshida, K. A., Hill, K., & Werker, J. F. (2007). The development of phonetic representation in bilingual and monolingual infants. Applied Psycholinguistics, 28(3), 455–474. https://doi.org/10.1017/S0142716407070257","Burns, T. C., Yoshida, K. A., Hill, K., & Werker, J. F. (2007)","yes"
"101",75,"3",2007,"10mo-12mo","Vancouver, Canada","Canada","Monolinguals= 14
Bilinguals= 18","French-English","Present","infants who are being raised in a monolingual environment and","caregivers status","Exposure","Present","﻿infants who are being raised in a bilingual environment and","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","None","None","idk","idk","lab","Burns, T. C., Yoshida, K. A., Hill, K., & Werker, J. F. (2007). The development of phonetic representation in bilingual and monolingual infants. Applied Psycholinguistics, 28(3), 455–474. https://doi.org/10.1017/S0142716407070257","Burns, T. C., Yoshida, K. A., Hill, K., & Werker, J. F. (2007)","yes"
"102",76,"1",2013,"16mo-18mo","Vancouver, Canada","Canada","Monolinguals= 0
Bilinguals= 20","English-Mandarin or Cantonese","NA","999","999","Exposure","Present","bilingual infants learning English and Chinese (either Cantonese or Mandarin). ﻿All infants came from homes where English and Chinese
had been spoken regularly since the infant was born.","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","NA","None","8","idk","lab","Byers-Heinlein, K., & Werker, J. F. (2013). Lexicon structure and the disambiguation of novel words: Evidence from bilingual infants. Cognition, 128(3), 407–416. https://doi.org/10.1016/j.cognition.2013.05.010","Byers-Heinlein, K., & Werker, J. F. (2013)","999"
"103",77,"1",2013,"12mo & 14mo","Not provided","Not provided","Monolinguals= 50
Bilinguals= 48","English-Other","Present","English-speaking homes, and had not been regularly exposed to a non-English language","caregivers status","Exposure","Present","﻿Bilinguals came from homes where English as well as another language had been spoken regularly since birth. Between 25 and 75% for each language","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","None","25%","36","idk","lab","Byers-Heinlein, K., Fennell, C. T., & Werker, J. F. (2013). The development of associative word learning in monolingual and bilingual infants. Bilingualism, 16(1), 198–205. https://doi.org/10.1017/S1366728912000417","Byers-Heinlein, K., Fennell, C. T., & Werker, J. F. (2013)","no"
"104",78,"1a",2010,"0-5days","Vancouver, Canada","Canada","Monolinguals= 15
Bilinguals= 15","English-Tagalog","Present","English background","caregivers status","Caregivers Status","Present","English-Tagalog Background ","no specified","None","None","28","idk","hospital","Byers-Heinlein, K., Burns, T. C., & Werker, J. F. (2010). The roots of bilingualism in newborns. Psychological Science, 21(3), 343–348. https://doi.org/10.1177/0956797609360758","Byers-Heinlein, K., Burns, T. C., & Werker, J. F. (2010)","yes"
"105",78,"1b",2010,"newborn","Vancouver, Canada","Canada","Monolinguals= 0
Bilinguals= 14","English-Mandarin or Cantonese","NA","999","999","Caregivers Status","Present","English-Chinese background(Mandarin or Cantonese)","no specified","NA","None","0","idk","hospital","Byers-Heinlein, K., Burns, T. C., & Werker, J. F. (2010). The roots of bilingualism in newborns. Psychological Science, 21(3), 343–348. https://doi.org/10.1177/0956797609360758","Byers-Heinlein, K., Burns, T. C., & Werker, J. F. (2010)","yes"
"106",78,"2",2010,"newborn","Vancouver, Canada","Canada","Monolinguals= 16
Bilinguals= 16","English-Tagalog","Present","English background","caregivers status","Caregivers Status","Present","English-Tagalog Background ","no specified","None","None","87","idk","hospital","Byers-Heinlein, K., Burns, T. C., & Werker, J. F. (2010). The roots of bilingualism in newborns. Psychological Science, 21(3), 343–348. https://doi.org/10.1177/0956797609360758","Byers-Heinlein, K., Burns, T. C., & Werker, J. F. (2010)","no"
"107",79,"1",2009,"17mo-18mo","Not provided","Not provided","Monolinguals= 16
Bilinguals= 16","English-Other","Present","Monolingual infants came from English-speaking homes, and their parents reported that they had not received any systematic exposure to a language other than English. Multilingual","caregivers status","Exposure","Present","﻿For bilingual infants, a minimum of 25% exposure to each language was set as an inclusion criterion (Pearson,","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","None","25%","11","idk","lab","Byers-Heinlein, K., & Werker, J. F. (2009). Monolingual, bilingual, trilingual: Infants’ language experience influences the development of a word-learning heuristic. Developmental Science, 12(5), 815–823. https://doi.org/10.1111/j.1467-7687.2009.00902.x","Byers-Heinlein, K., & Werker, J. F. (2009)","no"
"108",79,"2",2009,"17mo-18mo","Not provided","Not provided","Monolinguals= 9
Bilinguals= 7","English-Other","Present","Monolingual infants came from English-speaking homes, and their parents reported that they had not received any systematic exposure to a language other than English. Multilingual","caregivers status","Exposure","Present","﻿For bilingual infants, a minimum of 25% exposure to each language was set as an inclusion criterion (Pearson,","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","None","25%","8","idk","lab","Byers-Heinlein, K., & Werker, J. F. (2009). Monolingual, bilingual, trilingual: Infants’ language experience influences the development of a word-learning heuristic. Developmental Science, 12(5), 815–823. https://doi.org/10.1111/j.1467-7687.2009.00902.x","Byers-Heinlein, K., & Werker, J. F. (2009)","no"
"109",80,"1",2010,"17mo-22mo","England (Reading), United Kingdom","United Kingdom","Monolinguals= 30
Bilinguals= 20","English-Other","Present","monolingual homes, where only English was spoken","caregivers status","Caregivers Status","Present","If  the parents each spoke to the child in a different language at home or if the child attended a full-time nursery or care-setting where a different language was spoken to that spoken at home.","own questionnaire","None","None","4","idk","lab","Houston-Price, C., Caloghiris, Z., & Raviglione, E. (2010). Language experience shapes the development of the mutual exclusivity bias. Infancy, 15(2), 125–150. https://doi.org/10.1111/j.1532-7078.2009.00009.x","Houston-Price, C., Caloghiris, Z., & Raviglione, E. (2010)","yes"
"110",81,"1",2017,"9mo-10mo","Not provided","Not provided","Monolinguals= 21
Bilinguals= 23","English or French-Other","Present","exposed to English or French at least 90% of the time.","exposure","Exposure","Present","﻿All bilinguals were exposed to English or French at least 25% of the time, and a second language 25% of the time","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","90%","25%","48","idk","lab","Byers-Heinlein, K. (2017). Bilingualism affects 9-month-old infants’ expectations about how words refer to kinds. Developmental Science, 20(1), 1–10. https://doi.org/10.1111/desc.12486","Byers-Heinlein, K. (2017)","yes"
"111",82,"1",2009,"7mo","Trieste, Italy","Italy","Monolinguals= 20
Bilinguals= 20","Italian-Other","Not Present","not present","idk","Caregivers Status","Present","Infants were considered bilingual if they had parents with different mother tongues addressing them consistently in their respective native languages and if they had daily exposure to both languages.","own questionnaire","None","None","12","idk","lab","Kovács, Á. M., & Mehler, J. (2009). Cognitive gains in 7-month-old bilingual infants. Proceedings of the National Academy of Sciences, 106(16), 6556–6560. https://doi.org/10.1073/pnas.0811323106","Kovács, Á. M., & Mehler, J. (2009)","yes"
"112",82,"2",2009,"7mo","Trieste, Italy","Italy","Monolinguals= 20
Bilinguals= 20","Italian-Other","Not Present","not present","idk","Caregivers Status","Present","Infants were considered bilingual if they had parents with different mother tongues addressing them consistently in their respective native languages and if they had daily exposure to both languages.","own questionnaire","None","None","15","idk","lab","Kovács, Á. M., & Mehler, J. (2009). Cognitive gains in 7-month-old bilingual infants. Proceedings of the National Academy of Sciences, 106(16), 6556–6560. https://doi.org/10.1073/pnas.0811323106","Kovács, Á. M., & Mehler, J. (2009)","yes"
"113",82,"3",2009,"7mo","Trieste, Italy","Italy","Monolinguals= 20
Bilinguals= 20","Italian-Other","Not Present","not present","idk","Caregivers Status","Present","Infants were considered bilingual if they had parents with different mother tongues addressing them consistently in their respective native languages and if they had daily exposure to both languages.","own questionnaire","None","None","14","idk","lab","Kovács, Á. M., & Mehler, J. (2009). Cognitive gains in 7-month-old bilingual infants. Proceedings of the National Academy of Sciences, 106(16), 6556–6560. https://doi.org/10.1073/pnas.0811323106","Kovács, Á. M., & Mehler, J. (2009)","yes"
"114",83,"1",2009,"12mo","Trieste, Italy","Italy","Monolinguals= 22
Bilinguals= 22","Italian-Other","Not Present","not present","idk","Caregivers Status","Present","Bilinguals had parents with different mother tongues addressing them in different languages and daily exposure to both languages from birth. Most","own questionnaire","None","None","19","idk","lab","Kovács, Á. M., & Mehler, J. (2009). Flexible learning of multiple speech structures in bilingual infants. Science, 325(5940), 611–612. https://doi.org/10.1126/science.1173947","Kovács, Á. M., & Mehler, J. (2009)","yes"
"115",84,"1",2007,"11mo & 14mo","Wales (North Wales), United Kingdom","United Kingdom","Monolinguals= 207
Bilinguals= 28","English-Welsh","Not Present","not present","idk","Vocabulary","Present","we considered children to be bilingual if the number of words they were reported to know in English fell between 20 and 80% of the total words known in both languages (cf. Pearson, Fern´andez, &Oller, 1993, for a comparable procedure for establishing language dominance).","Communicative Development Inventory (CDI) adapted for British English by Hamilton, Plunkett, and Schafer (2001) and for Welsh by Margaret Bell.","None","20%","idk","idk","lab","Vihman, M. M., Thierry, G., Lum, J., Keren-Portnoy, T., & Martin, P. (2007). Onset of word form recognition in English, Welsh, and English-Welsh bilingual infants. Applied Psycholinguistics, 28(3), 475–493. https://doi.org/10.1017/S0142716407070269","Vihman, M. M., Thierry, G., Lum, J., Keren-Portnoy, T., & Martin, P. (2007)","kinda"
"116",85,"1",2016,"12mo-13mo","Singapore, Singapore","Singapore","Monolinguals= 0
Bilinguals= 18","English-Mandarin","NA","999","999","Exposure","Present","not present","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","NA","35%","7","idk","lab","Singh, L., Poh, F. L. S., & Fu, C. S. L. (2016). Limits on monolingualism? A Comparison of monolingual and bilingual infants’ abilities to integrate lexical tone in novel word learning. Frontiers in Psychology, 7(667), 1–16. https://doi.org/10.3389/fpsyg.2016.00667","Singh, L., Poh, F. L. S., & Fu, C. S. L. (2016)","999"
"117",86,"1",2015,"6mo","Singapore, Singapore","Singapore","Monolinguals= 54
Bilinguals= 60","English, Mandarin, Malay, or Tamil/Hindi","Present","Monolingualism was defined as having at least 90% exposure to a first lan- guage (English)","exposure","Exposure","Present","﻿bilingualism was defined as having at least 25% exposure to a second language","Language background questionnaire","90%","25%","10","idk","lab","Singh, L., Fu, C. S. L., Rahman, A. A., Hameed, W. B., Sanmugam, S., Agarwal, P., … Rifkin-Graboi, A. (2015). Back to Basics: A Bilingual Advantage in Infant Visual Habituation. Child Development, 86(1), 294–302. https://doi.org/10.1111/cdev.12271","Singh, L., Fu, C. S. L., Rahman, A. A., Hameed, W. B., Sanmugam, S., Agarwal, P., … Rifkin-Graboi, A. (2015)","yes"
"118",87,"2a",2014,"18mo & 24mo","Not provided","Not provided","Monolinguals= 0
Bilinguals= 32","Mandarin-Other","NA","999","999","Exposure","Not Present","idk","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","NA","None","7","idk","lab","Singh, L., Hui, T. J., Chan, C., & Golinkoff, R. M. (2014). Influences of vowel and tone variation on emergent word knowledge: A cross-linguistic investigation. Developmental Science, 17(1), 94–109. https://doi.org/10.1111/desc.12097","Singh, L., Hui, T. J., Chan, C., & Golinkoff, R. M. (2014)","999"
"119",87,"2b",2014,"18mo & 24mo","Not provided","Not provided","Monolinguals= 0
Bilinguals= 20","English-Other","NA","999","999","Exposure","Not Present","idk","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","NA","None","idk","idk","lab","Singh, L., Hui, T. J., Chan, C., & Golinkoff, R. M. (2014). Influences of vowel and tone variation on emergent word knowledge: A cross-linguistic investigation. Developmental Science, 17(1), 94–109. https://doi.org/10.1111/desc.12097","Singh, L., Hui, T. J., Chan, C., & Golinkoff, R. M. (2014)","999"
"120",88,"1",2014,"30mo","Not provided","Not provided","Monolinguals= 0
Bilinguals= 21","English-Mandarin","NA","999","999","Exposure","Present","bilinguals were defined as having at least 25% of lan- guage input in one language","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","NA","25%","9","idk","lab","Singh, L. (2014). One World, Two Languages: Cross-Language Semantic Priming in Bilingual Toddlers. Child Development, 85(2), 755–766. https://doi.org/10.1111/cdev.12133","Singh, L. (2014)","999"
"121",89,"1",2012,"7.5mo, 9mo, & 11mo","Massachussets (Boston), United States","United States","Monolinguals= 0
Bilinguals= 48","English-Mandarin","NA","999","999","Exposure","Present","Participants were de- fined as bilingual if they had exposure to Mandarin Chinese and English only. All participants were addressed in both languages from adult family members living in the same residence as the child.Bilingualism was defined as having more than 40% exposure to Mandarin Chinese but no more than 70% exposure to Mandarin Chinese","no specified","NA","40%","3","idk","lab","Singh, L., & Foong, J. (2012). Influences of lexical tone and pitch on word recognition in bilingual infants. Cognition, 124(2), 128–142. https://doi.org/10.1016/j.cognition.2012.05.008","Singh, L., & Foong, J. (2012)","999"
"122",89,"2",2012,"7.5mo, 9mo, & 11mo","Massachussets (Boston), United States","United States","Monolinguals= 0
Bilinguals= 48","English-Mandarin","NA","999","999","Exposure","Present","Participants were de- fined as bilingual if they had exposure to Mandarin Chinese and English only. All participants were addressed in both languages from adult family members living in the same residence as the child.Bilingualism was defined as having more than 40% exposure to Mandarin Chinese but no more than 70% exposure to Mandarin Chinese","no specified","NA","40%","3","idk","lab","Singh, L., & Foong, J. (2012). Influences of lexical tone and pitch on word recognition in bilingual infants. Cognition, 124(2), 128–142. https://doi.org/10.1016/j.cognition.2012.05.008","Singh, L., & Foong, J. (2012)","999"
"123",90,"1",2015,"13mo","New Zealand","New Zealand","Monolinguals= 22
Bilinguals= 30","English-Other","Present",">80 exposure to English or >65","exposure","Exposure","Present",">35% exposure to another language","own questionnaire","65%","35%","7","idk","lab","Henderson, A. M. E., & Scott, J. C. (2015). She called that thing a mido, but should you call it a mido too? Linguistic experience influences infants’ expectations of conventionality. Frontiers in Psychology, 6, 1–11. https://doi.org/10.3389/fpsyg.2015.00332","Henderson, A. M. E., & Scott, J. C. (2015)","Yes"
"124",91,"1",2015,"19mo","Not provided","Not provided","Monolinguals= 32
Bilinguals= 32","English-Other","Present","Monolingual infants were exposed to at least 90% Eng-","exposure","Exposure","Present","Bilingual infants were exposed to at least 30% of two languages from two different rhythmic classes","no specified","90%","30%","29","idk","lab","Pitts, C. E., Onishi, K. H., & Vouloumanos, A. (2015). Who can communicate with whom? Language experience affects infants’ evaluation of others as monolingual or multilingual. Cognition, 134, 185–192. https://doi.org/10.1016/j.cognition.2014.10.003","Pitts, C. E., Onishi, K. H., & Vouloumanos, A. (2015)","Yes"
"125",92,"1",2014,"17mo","Ottawa, Canada","Canada","Monolinguals= 31
Bilinguals= 30","French-English","Present","more than 95% exposure to English","exposure","Exposure","Present","﻿Infants were exposed to English and French from birth and had a maximum of 80% exposure to one language and a minimum of 20% exposure to the other, with 50% mean exposure to English and 50% to French, as","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","95%","20%","24","idk","lab","Fennell, C., & Byers-Heinlein, K. (2014). You sound like Mommy: Bilingual and monolingual infants learn words best from speakers typical of their language environments. International Journal of Behavioral Development, 38(4), 309–316. https://doi.org/10.1177/0165025414530631","Fennell, C., & Byers-Heinlein, K. (2014)","no"
"126",93,"1",2015,"30mo","Wales (Bangor), United Kingdom","United Kingdom","Monolinguals= 14
Bilinguals= 14","English-Welsh","Present","Monolingual children were reported not to know any Welsh words apart from some basic com- monly used words (e.g., ‘‘dioch’’; ‘‘thank you’’), nor to have (or hav- ing had) significant exposure to Welsh (e.g., no Welsh only day care).","caregivers status","Exposure","Present","﻿The bilingual group consisted of children that had balanced estimated knowledge of Welsh and English and were exposed to both Welsh and English on a day-to-day basis (e.g., Welsh nursery, English or mixed language home, or vice versa). The","no specified","None","None","8","idk","lab","Kuipers, J. R., & Thierry, G. (2015). Bilingualism and increased attention to speech: Evidence from event-related potentials. Brain and Language, 149, 27–32. https://doi.org/10.1016/j.bandl.2015.07.004","Kuipers, J. R., & Thierry, G. (2015)","kinda"
"127",94,"1",2012,"30mo","Wales (Bangor), United Kingdom","United Kingdom","Monolinguals= 18
Bilinguals= 18","English-Welsh","Present","The English monolingual children had had no noteworthy exposure to Welsh at the time of testing.","exposure","Exposure","Present","﻿child had equal to near-equal exposure to Welsh and English.","no specified","None","None","25","idk","lab","Kuipers, J. R., & Thierry, G. (2012). Event-related potential correlates of language change detection in bilingual toddlers. Developmental Cognitive Neuroscience, 2(1), 97–102. https://doi.org/10.1016/j.dcn.2011.08.002","Kuipers, J. R., & Thierry, G. (2012)","yes"
"128",95,"1",2013,"30mo","Wales (Bangor), United Kingdom","United Kingdom","Monolinguals= 13
Bilinguals= 13","English-Welsh","Not Present","idk","idk","Exposure","Present","﻿were exposed to English (average English CDI score 91% ? 8%) and at least one other European language (Welsh, Hungarian, German, French, or Spanish) from birth.","no specified","None","None","7","idk","lab","Kuipers, J. R., & Thierry, G. (2013). ERP-pupil size correlations reveal how bilingualism enhances cognitive flexibility. Cortex, 49(10), 2853–2860. https://doi.org/10.1016/j.cortex.2013.01.012","Kuipers, J. R., & Thierry, G. (2013)","yes"
"129",96,"1",2002,"24mo-27mo","Michigan(Ann Arbor), United States; Tübingen, Kiel,& Aachen, Germany","United States,Germany","Monolinguals= 20
Bilinguals= 10","English-German","Not Present","not present","idk","Exposure","Present","A minimum language exposure requirement of 20 hours per week for each language was met by all bilingual participants. This criterion was based on the Pearson, Fernández, Lewedeg, & Oller (1997) longitudinal study of 25 Spanish-English bilingual toddlers, which found that children who received less input in a particular language per week were reluctant to use this language productively. Therefore,","The Rosetti Infant-Toddler-Language Scale (Rosetti, 1990)","None","20hrs","idk","idk","lab","Junker, D. A., & Stockman, I. J. (2002). Expressive vocabulary of German-English bilingual toddlers. American Journal of Speech-Language Pathology, 11(4), 381–394. https://doi.org/10.1044/1058-0360(2002/042)","Junker, D. A., & Stockman, I. J. (2002)","yes"
"130",97,"1",2006,"19mo-22mo","California (San Diego, United States","United States","Monolinguals= 0
Bilinguals= 30","English-Spanish","NA","999","999","Exposure","Present","﻿first exposure to both English and Spanish occurred prior to 6 months of age","Parent language survey (Conboy, 2002)","NA","10hrs","15","idk","lab","Conboy, B. T., & Mills, D. L. (2006). Two languages, one developing brain: Event-related potentials to words in bilingual toddlers. Developmental Science, 9(1), 1–12. https://doi.org/10.1111/j.1467-7687.2005.00453.x","Conboy, B. T., & Mills, D. L. (2006)","999"
"131",98,"1",2009,"24mo-36mo","New Englad, United States","United States","Monolinguals= 29
Bilinguals= 56","English-Spanish","Present","Children from Monolingual English families","caregivers status","Caregivers Status","Present","Children from Spanish families or Spanish-English families","no specified","None","None","33","idk","home/school","Vagh, S. B., Pan, B. A., & Mancilla-Martinez, J. (2009). Measuring growth in bilingual and monolingual children’s english productive vocabulary development: The utility of combining parent and teacher report. Child Development, 80(5), 1545–1563. https://doi.org/10.1111/j.1467-8624.2009.01350.x","Vagh, S. B., Pan, B. A., & Mancilla-Martinez, J. (2009)","yes"
"132",99,"1",2011,"3mo-36mo","New York, United States","United States","Monolinguals= 52
Bilinguals= 58","English-Spanish","Present","Children from Monolingual English families","caregivers status","Caregivers Status","Present","Children from Spanish-English families","Language background questionnaire","None","None","idk","idk","lab","Shafer, V. L., Yu, Y. H., & Datta, H. (2011). The development of English vowel perception in monolingual and bilingual infants: Neurophysiological correlates. Journal of Phonetics, 39(4), 527–545. https://doi.org/10.1016/j.wocn.2010.11.010","Shafer, V. L., Yu, Y. H., & Datta, H. (2011)","yes"
"133",100,"1",2012,"2mo-16mo","Not provided","Not provided","Monolinguals= 27
Bilinguals= 34","English-Other","Present","Only babies whose parents reported that the only language to which their baby was exposed to was English were considered to be monolingual.","caregivers status","Caregivers Status","Present","﻿parents who deemed their households as being ‘‘bilingual,’’ and who described themselves as being ‘‘bilingual,’’ and who reported their babies to be ‘‘bilingual,’’ that is, receiving bilingual language exposure (as as- sessed with the screening, BLBUQ, and experimenter assessment tools) involving comparable consistent and regular exposure to English and another language (balanced bilingual), which was unrelated to Hindi, from multiple sources (e.g., Parents, Grandparents, Friends, Community), and from very early life, were considered to be ‘‘bilingual families,’’ and their babies were considered to be receiving bilingual language exposure.","Bilingual Language Background and Use Questionnaire (‘‘BLBUQ;’’ see Holowka, Brosseau-Lapré, & Petitto, 2002)","None","None","2","idk","lab","Petitto, L. A., Berens, M. S., Kovelman, I., Dubins, M. H., Jasinska, K., & Shalinsky, M. (2012). The “Perceptual Wedge Hypothesis” as the basis for bilingual babies’ phonetic processing advantage: New insights from fNIRS brain imaging. Brain and Language, 121(2), 130–143. https://doi.org/10.1016/j.bandl.2011.05.003","Petitto, L. A., Berens, M. S., Kovelman, I., Dubins, M. H., Jasinska, K., & Shalinsky, M. (2012)","kinda"
"134",101,"1",2014,"30mo & 36mo","California, United States","United States","Monolinguals= 0
Bilinguals= 37","English-Spanish","NA","999","999","Exposure","Present","﻿A proportion score for Spanish exposure was calculated by dividing the total number of person hours per week in Spanish over the total number of person hours in Spanish and English across all sources (excluding TV). To facilitate comparison with the other measures, this proportion score was then converted to a Spanish:English (S:E) ratio.","Language environment interview (Following Marchman et al. (2004) and others)","NA","None","idk","idk","lab","Hurtado, N., Grüter, T., Marchman, V. A., & Fernald, A. (2014). Relative language exposure, processing efficiency and vocabulary in Spanish-English bilingual toddlers. Bilingualism, 17(1), 189–202. https://doi.org/10.1017/S136672891300014X","Hurtado, N., Grüter, T., Marchman, V. A., & Fernald, A. (2014)","999"
"135",102,"1A",2014,"3mo","Not provided","Not provided","Monolinguals= 13
Bilinguals= 8","Was not provided","Present","For parents who answered our questionnaire, we used the percentages given in question three to make classifications. Infants with ≤ 10% expo- sure to a second language (L2) were classified as monolingual; ﻿For parents who did not answer the questionnaire, we used the # of languages reported in our database (1 = monolingual, >1=bilingual)","exposure","Exposure","Present","﻿For parents who answered our questionnaire, we used the percentages given in question three to make classifications. Infants with >10% expo- sure to a second language (L2) were classified as monolingual; ﻿For parents who did not answer the questionnaire, we used the # of languages reported in our database (1 = monolingual, >1=bilingual)","Language background questionnaire","90%","10%","15","idk","lab","Schonberg, C., Sandhofer, C. M., Tsang, T., & Johnson, S. P. (2014). Does bilingual experience affect early visual perceptual development? Frontiers in Psychology, 5, 1–11. https://doi.org/10.3389/fpsyg.2014.01429","Schonberg, C., Sandhofer, C. M., Tsang, T., & Johnson, S. P. (2014)","no"
